0,1,2,3,4,5,6,7,8,9,10,11,12,label
-335.7613,47.36331,-10.509743,28.330967,9.926658,-24.162115,-16.919714,-20.373817,-19.510775,-24.225988,-16.541843,-4.440735,-16.70267,arabic
-285.46906,68.88205,-12.645748,18.980684,11.402607,-19.889883,-27.035467,-32.031075,-20.900955,-5.018822,-17.878704,2.3856084,-11.659793,arabic
-280.00247,55.383503,3.5156925,16.403946,-9.723845,-18.86003,-24.811838,-10.64932,-22.904076,-21.578861,-4.805629,-9.900011,-14.834418,arabic
-296.94675,52.714775,-7.412111,13.971267,-4.0572023,-10.275459,-28.415394,-23.0717,-13.240889,-17.13654,-15.688535,-0.0918298,-7.8492994,arabic
-206.62946,57.978172,-11.264026,24.512993,-11.287743,-8.895885,-14.011907,-19.465733,-9.955777,-9.11637,-16.775042,2.4328113,-9.3995075,arabic
-321.99176,62.27084,-9.600326,4.2121487,-9.688329,-10.237722,-6.902655,-10.371673,-20.462229,-15.12509,-17.90904,-7.0667853,-7.94636,arabic
-293.82687,100.60692,29.653585,36.90996,-0.59750813,-13.256916,-9.396494,6.8542657,-5.069524,0.84383607,-4.189766,-0.09523589,6.9017158,arabic
-296.64066,69.18881,25.713654,9.542672,-4.6544676,-9.8681965,-10.067618,-10.46027,-15.810871,-9.879431,-12.318143,-10.903053,-8.549183,arabic
-311.53427,40.689457,-14.786123,22.51432,-16.038181,6.5495834,-13.66878,2.544321,-5.9562817,-5.0850053,-11.09868,-3.212186,1.4257623,arabic
-311.93707,69.65654,17.991266,-12.850246,-0.98821425,-24.611795,-20.89215,-9.095691,-11.352238,-15.784543,-8.868666,-11.629134,-8.010401,arabic
-309.56064,65.955635,5.2057524,22.766254,-4.1296782,-14.549186,-26.472557,-18.785748,-5.3352056,-23.361416,-9.771299,-8.50728,-6.004206,arabic
-290.7796,71.63754,-8.704001,13.072051,-3.0317972,-12.813432,-18.21532,-21.931955,-12.15197,-9.40629,-14.890664,-4.9294357,-13.012751,arabic
-349.46344,58.9306,-3.0469778,5.726345,-19.828726,-6.128072,-9.384869,-14.386965,-5.957364,-17.165556,-9.456623,-14.896081,-4.6537747,arabic
-352.1687,48.60204,-24.018328,4.302465,-25.036276,-13.25005,-11.571794,-25.223839,-14.302578,-16.890612,-1.8633178,-11.33565,-5.271788,arabic
-292.5147,63.777973,-2.0717273,11.09584,-16.98087,-6.484626,-14.940325,-7.7383833,-16.857767,-6.160364,-15.732369,-7.8322268,-7.5322876,arabic
-283.58658,85.86124,-12.447278,17.235262,1.6720417,-7.147233,-20.636583,-27.805275,-11.069206,-10.049819,-17.05114,-10.653794,-4.2378516,arabic
-251.62494,69.83565,15.405827,16.434015,-6.106398,-15.738452,-5.127646,-0.34182468,-5.3490944,-1.1152347,-4.770704,0.38415775,-1.8636328,arabic
-232.42139,62.274323,7.1764703,25.600456,-4.849342,-4.9356103,-16.102486,4.00053,-7.269771,-0.91295075,-5.4264154,-3.8273678,-3.1332302,arabic
-334.5734,89.27066,16.2859,25.52135,-26.799934,-22.190514,-17.165579,-10.139199,-15.408652,-14.780515,-10.875747,-10.962126,-8.248523,arabic
-326.5065,65.37733,44.40013,-10.182842,0.9476373,13.480302,-22.632318,-8.662972,-16.859228,-7.582695,7.8310328,-5.197264,7.4877195,armenian
-390.65204,77.182816,17.41807,2.5339186,-16.7572,-27.631378,-38.618362,-7.0239263,-13.91003,-9.149912,-10.323162,-21.296564,-8.476949,armenian
-362.70947,77.8675,36.515526,27.469664,-18.3913,-31.196995,-23.711433,-9.983308,-16.910452,-7.762069,-19.5953,-5.9186387,-9.653453,armenian
-317.73578,71.38611,-22.433771,3.1076438,-23.191217,-29.18964,-17.203997,-4.450349,-8.46318,-10.267912,-13.235003,-6.1494856,-7.7963357,armenian
-284.0702,111.50384,25.236752,22.389278,7.583834,-0.97324026,-5.521028,2.521242,-10.265453,2.0568433,-2.352375,-0.093207456,0.64790696,armenian
-263.40225,91.90037,1.8788773,11.523097,-12.091438,-18.786081,-3.916841,-6.6874013,-2.2657685,7.353148,1.9109298,4.9188557,1.6684366,armenian
-310.85138,114.26902,23.231884,24.851288,8.73078,2.6482656,-11.38651,-14.392035,-2.4322014,-7.3808155,-13.360893,2.3191469,-3.9872591,armenian
-359.08453,74.67912,12.250742,5.8121467,-13.663519,-27.047464,-18.942451,-6.694679,-19.165688,-2.6990528,-10.89239,-8.606151,-6.3847384,armenian
-273.35095,67.96834,-16.150448,32.734795,2.404883,7.2125053,-14.901205,-12.910699,-7.690923,-24.960953,-17.788616,1.9236438,-8.524336,azerbaijani
-383.6645,51.27121,12.665706,27.016592,-9.682182,-14.230593,-30.022192,-13.225922,-13.131379,-13.141961,-9.902447,-11.701943,-6.3039374,azerbaijani
-249.74277,102.03976,11.769433,6.048116,-7.366757,-15.567091,-19.80944,-20.110508,-14.559951,-16.295958,-6.662854,-14.567935,-9.483817,azerbaijani
-316.66846,100.068825,10.549467,40.491776,-1.935952,-12.93987,15.124828,-0.9008215,-6.584349,2.4231682,-7.2835793,10.030299,-3.1875517,bafang
-346.0376,108.03919,17.997255,36.633904,10.201526,1.496404,3.9062781,-3.6921494,-4.1028523,0.26510236,2.8507543,1.0975875,1.2183545,bafang
-295.56848,92.92633,17.818184,42.14262,1.4123454,-2.424441,-4.596581,-5.1189113,-11.551042,-0.6766713,-2.816726,-4.5988545,1.578853,bambara
-321.8403,61.848755,19.752272,27.817661,-19.022312,-9.454018,9.191926,-26.128218,-23.717304,-4.4198017,-15.461511,-9.583765,-3.9357502,bambara
-374.21497,77.23075,3.3287783,37.07996,-5.6022663,-21.365362,-16.566887,-5.9048834,-12.655271,-9.596519,-7.1351466,-10.85812,-4.497757,bambara
